,0,1,2,3,4,5
270,7658,4207,1858,2556,2696,4860
271,9894,4804,2132,3047,3082,6205
272,10551,5017,2217,3193,3209,6529
273,10650,5007,2207,3239,3250,6492
274,10470,4974,2188,3253,3260,6320
275,10873,5052,2261,3350,3296,6514
276,11233,5084,2301,3448,3291,6575
277,11162,4805,2148,3282,3109,6346
278,11350,4642,2051,3202,2960,6338
279,12108,4709,2071,3303,2934,6766
280,13113,4897,2200,3515,3127,7360
281,14157,5176,2327,3750,3302,7966
282,13646,5126,2327,3740,3257,7770
283,11874,4763,2145,3373,3089,6890
284,11306,4577,2053,3211,2985,6649
285,9291,3948,1797,2666,2720,5533
286,8244,3616,1660,2394,2523,4925
287,7496,3392,1544,2189,2324,4469
288,6781,3243,1477,2035,2197,4075
289,6292,3123,1418,1944,2112,3806
290,6019,3123,1399,1904,2074,3664
291,5896,3162,1384,1901,2062,3632
292,5779,3253,1416,1926,2094,3603
293,6261,3442,1495,2076,2221,3865
294,7378,3863,1673,2394,2441,4576
295,9474,4508,1955,2885,2816,5724
296,10237,4777,2094,3122,3017,6120
297,10384,4890,2139,3232,3122,6180
298,10231,4972,2164,3217,3151,6043
299,10461,5073,2217,3301,3234,6221
300,10751,5101,2258,3349,3209,6366
301,10644,4905,2189,3229,3104,6254
302,10758,4745,2115,3136,3032,6321
303,11567,4633,2080,3173,3008,6759
304,12768,4761,2203,3372,3158,7390
305,13994,5048,2346,3631,3400,8045
306,13393,4986,2309,3601,3368,7882
307,11526,4556,2091,3239,3167,6921
308,10983,4388,2002,3069,2993,6667
309,9081,3865,1765,2600,2698,5668
310,8118,3507,1616,2371,2484,5195
311,7491,3258,1495,2152,2292,4830
312,7248,3138,1452,2087,2195,4663
313,6483,2942,1350,1918,2034,4206
314,6179,2893,1320,1850,1972,4050
315,5984,2864,1296,1831,1946,3981
316,5836,2921,1315,1850,1970,3919
317,6082,3072,1370,1963,2060,4077
318,6412,3252,1460,2075,2158,4258
319,6868,3522,1570,2240,2323,4597
320,7104,3772,1679,2412,2461,4772
321,7653,3994,1777,2567,2599,5105
322,8112,4134,1882,2697,2673,5350
323,8698,4309,1960,2834,2711,5676
324,9240,4483,2029,2945,2786,5915
325,9162,4344,2000,2873,2691,5768
326,9246,4207,1988,2853,2651,5670
327,9088,4089,1882,2787,2592,5552
328,9345,4204,1928,2814,2703,5698
329,9190,4195,1937,2814,2760,5622
330,10425,4387,2097,3098,2921,6376
331,10399,4298,2062,3058,2915,6364
332,9909,4191,1990,2930,2758,6084
333,9378,4021,1919,2816,2654,5849
334,8743,3797,1841,2629,2459,5502
335,7989,3497,1696,2423,2304,5039
336,7276,3309,1538,2262,2146,4528
337,6704,3134,1463,2126,2044,4226
338,6487,3138,1467,2099,2013,4140
339,6379,3187,1466,2113,2021,4138
340,6369,3273,1508,2149,2069,4173
341,6669,3439,1569,2248,2194,4402
342,7005,3639,1627,2350,2354,4649
343,7394,3799,1721,2434,2502,4943
344,7616,3947,1808,2549,2617,5132
345,8147,4110,1855,2689,2683,5422
346,8495,4156,1894,2781,2723,5623
347,9070,4252,1956,2867,2808,5821
348,9631,4305,1991,2931,2799,5999
349,9599,4038,1874,2792,2621,5878
350,9780,3824,1800,2687,2480,5900
351,9856,3717,1721,2631,2395,5893
352,10252,3809,1779,2741,2508,6161
353,9999,3921,1816,2739,2581,5983
354,11409,4258,1999,3102,2821,6793
355,11364,4226,2024,3109,2776,6750
356,10770,4039,1945,2999,2713,6443
357,10346,3981,1916,2893,2632,6273
358,9603,3753,1833,2717,2502,5845
359,8678,3433,1666,2478,2267,5292
360,7100,3042,1445,2108,2002,4437
361,6768,2954,1389,2041,1922,4276
362,6516,2922,1356,2014,1895,4177
363,6481,2922,1348,2003,1905,4196
364,6430,2971,1365,2006,1944,4202
365,6793,3125,1445,2119,2043,4458
366,7316,3405,1576,2329,2237,4855
367,8556,3762,1758,2617,2465,5580
368,9198,3916,1835,2770,2646,5975
369,9552,3971,1859,2864,2716,6132
370,9513,4061,1866,2874,2689,6029
371,10048,4061,1911,2913,2762,6224
372,10370,3993,1929,2908,2743,6307
373,10228,3724,1789,2768,2555,6133
374,10376,3609,1722,2694,2426,6142
375,11187,3629,1740,2807,2508,6506
376,12302,3882,1865,3016,2703,7039
377,13126,4360,2050,3234,2919,7462
378,12662,4255,2008,3216,2941,7329
379,10644,3831,1782,2784,2686,6282
380,9917,3592,1673,2634,2574,5912
381,9250,3444,1609,2489,2424,5561
382,8432,3170,1505,2277,2283,5055
383,7699,2919,1379,2075,2129,4609
384,6518,2676,1242,1842,1927,3975
385,6079,2557,1190,1740,1800,3715
386,5827,2523,1158,1683,1778,3583
387,5795,2572,1160,1691,1808,3583
388,5803,2688,1210,1721,1852,3609
389,6306,2939,1325,1879,1991,3943
390,7919,3572,1621,2322,2357,4925
391,10288,4340,1993,2927,2795,6267
392,10781,4576,2116,3127,2995,6660
393,10779,4568,2118,3120,3058,6645
