,0,1,2,3,4,5
395,10189,3490,1839,2625,2248,6004
396,10487,3529,1869,2672,2298,6178
397,10454,3411,1808,2607,2245,6089
398,10747,3387,1776,2620,2210,6199
399,11709,3577,1811,2808,2311,6699
400,12812,3888,1954,3087,2496,7388
401,14038,4302,2130,3355,2767,8060
402,13701,4196,2131,3313,2798,7905
403,11890,3833,1933,2959,2566,6938
404,11188,3643,1837,2803,2451,6597
405,8962,3018,1539,2212,2085,5216
406,7808,2634,1376,1932,1888,4531
407,7003,2337,1242,1729,1681,4023
408,6203,2182,1155,1588,1496,3526
409,5685,2084,1097,1490,1402,3270
410,5414,2038,1070,1433,1347,3145
411,5280,2017,1055,1429,1311,3090
412,5166,2030,1082,1434,1303,3086
413,5623,2183,1164,1557,1419,3387
414,6885,2588,1365,1900,1650,4270
415,9040,3177,1670,2412,2015,5513
416,9531,3266,1729,2502,2112,5699
417,9530,3297,1706,2510,2118,5557
418,9350,3215,1709,2487,2083,5362
419,9665,3261,1733,2537,2144,5462
420,9966,3275,1760,2611,2157,5566
421,9936,3133,1684,2563,2106,5495
422,10250,3107,1660,2570,2078,5590
423,11203,3273,1738,2697,2131,5969
424,12278,3547,1880,2945,2306,6467
425,13266,3978,2060,3253,2538,7097
426,13093,3968,2060,3247,2578,7149
427,11357,3576,1885,2930,2512,6367
428,10817,3369,1771,2787,2375,6128
429,8825,2812,1459,2228,2027,4944
430,7723,2469,1301,1916,1821,4315
431,6967,2230,1160,1711,1664,3874
432,6160,2078,1072,1576,1471,3978
433,5894,1966,1009,1476,1384,3696
434,5703,2099,1006,1517,1340,3595
435,5664,2068,989,1508,1312,3580
436,5671,2097,998,1524,1321,3614
437,6142,2284,1093,1667,1440,3890
438,7767,2795,1342,1996,1728,4924
439,10265,3345,1656,2672,2085,6388
440,10789,3457,1750,2790,2173,6637
441,10570,3387,1682,2726,2128,6390
442,10132,3310,1648,2642,2086,6056
443,10339,3358,1668,2641,2014,6111
444,10556,3400,1720,2678,2023,6115
445,10448,3268,1674,2626,1972,5973
446,10625,3251,1678,2662,1995,5983
447,11411,3390,1763,2826,2085,6343
448,12553,3958,1986,3198,2237,6948
449,13598,4322,2136,3474,2601,7595
450,13677,4325,2141,3508,2753,7638
451,12278,4005,1943,3190,2600,7026
452,11844,3630,1801,2946,2503,6838
453,8800,2807,1414,2216,2079,5167
454,7620,2466,1276,1899,1733,4520
455,6966,2214,1149,1716,1520,4122
456,6402,2002,1057,1561,1437,3886
457,5972,1914,997,1467,1363,3620
458,5718,1852,969,1416,1311,3463
459,5616,1861,959,1409,1287,3408
460,5583,1892,982,1426,1301,3415
461,6039,2045,1054,1538,1380,3686
462,7569,2489,1271,1927,1636,4597
463,10088,3148,1633,2546,2039,5961
464,10535,3331,1721,2686,2174,6265
465,10347,3403,1734,2641,2186,6156
466,9900,3354,1720,2582,2152,5891
467,10199,3438,1740,2600,2171,6022
468,10445,3502,1779,2671,2185,6103
469,10322,3393,1717,2596,2122,6000
470,10523,3349,1692,2600,2088,6025
471,11317,3494,1764,2751,2153,6387
472,12353,3827,1937,3013,2343,7000
473,13320,4167,2150,3291,2584,7661
474,13442,4164,2138,3349,2709,7880
475,11970,3888,1977,3044,2600,7167
476,11502,3709,1918,2897,2479,6918
477,8719,2974,1573,2230,2069,5339
478,7665,2669,1427,1977,1879,4735
479,7120,2438,1328,1806,1721,4416
480,6712,2339,1285,1712,1607,4122
481,6096,2197,1200,1571,1504,3752
482,5887,2180,1178,1529,1471,3619
483,5729,2166,1158,1503,1440,3550
484,5655,2185,1180,1496,1450,3533
485,5932,2301,1229,1577,1516,3717
486,6296,2491,1299,1692,1618,3955
487,6778,2721,1416,1851,1768,4301
488,7228,2870,1476,2010,1903,4557
489,7864,3109,1593,2187,2053,4932
490,8240,3243,1697,2286,2094,5188
491,8993,3369,1723,2405,2214,5612
492,9748,3444,1792,2536,2269,6006
493,9842,3350,1722,2481,2202,5982
494,10004,3311,1680,2474,2194,6086
495,9963,3287,1652,2466,2110,5982
496,10154,3363,1669,2536,2172,6140
497,9655,3332,1648,2484,2178,5870
498,10909,3619,1828,2757,2395,6593
499,10800,3573,1799,2727,2387,6526
500,10126,3334,1708,2557,2246,6084
501,9555,3172,1620,2419,2114,5738
502,8820,2916,1502,2204,1956,5264
503,7916,2556,1347,1936,1685,4706
