,0,1,2,3,4,5
366,6871,2446,1257,1826,1541,4246
367,8107,2802,1443,2126,1800,4974
368,8731,2954,1518,2278,1891,5341
369,9071,2992,1528,2366,1964,5484
370,9014,3037,1525,2354,1934,5389
371,9537,3065,1571,2407,2012,5606
372,9861,3057,1614,2460,2247,5747
373,9954,3219,1599,2393,2215,5663
374,10156,3203,1577,2512,2189,5729
375,11040,3328,1637,2675,2296,6274
376,12100,3593,1766,2881,2458,6802
377,12929,3945,1921,3098,2650,7228
378,12475,3861,1881,3036,2665,7109
379,10469,3448,1660,2664,2422,6087
380,9784,3260,1561,2481,2274,5618
381,9103,2804,1404,2193,2129,5255
382,8225,2503,1285,1974,1955,4759
383,7479,2516,1232,1756,1781,4303
384,6295,2266,1090,1525,1580,3650
385,5851,1883,955,1422,1454,3348
386,5593,1826,918,1357,1378,3208
387,5514,1823,902,1341,1313,3187
388,5458,1854,921,1340,1317,3167
389,5907,2018,1003,1487,1417,3455
390,7438,2548,1261,1882,1641,4359
391,9750,3229,1591,2447,2031,5649
392,10151,3276,1628,2544,2148,5934
393,10107,3205,1606,2513,2066,5882
394,9774,3140,1591,2440,1992,5635
395,9926,3170,1595,2501,2003,5794
396,10244,3219,1630,2550,2085,5984
397,10239,3087,1571,2480,2199,5916
398,10703,3366,1642,2618,2168,6034
399,11659,3518,1671,2784,2260,6637
400,12744,3793,1806,3049,2447,7310
401,13967,4207,1974,3306,2723,7975
402,13627,4118,1986,3266,2775,7820
403,11828,3770,1813,2928,2546,6857
404,11139,3621,1733,2795,2448,6427
405,8927,2763,1377,2114,2099,5071
406,7647,2433,1232,1850,1765,4400
407,6869,2159,1108,1660,1580,3911
408,6080,2010,1023,1517,1384,3409
409,5572,1913,969,1420,1289,3156
410,5300,1866,943,1364,1251,3030
411,5165,1846,928,1359,1220,2979
412,5047,1860,954,1367,1200,2973
413,5504,2006,1034,1483,1309,3267
414,6770,2408,1235,1823,1547,4145
415,8925,2984,1525,2327,1891,5378
416,9420,3076,1591,2423,1987,5572
417,9415,3106,1572,2429,2008,5424
418,9231,3034,1574,2404,1957,5227
419,9516,3083,1598,2454,2027,5335
420,9992,3113,1638,2542,2229,5467
421,9993,3033,1609,2535,2221,5447
422,10352,3090,1641,2581,2171,5579
423,11185,3321,1771,2747,2342,5992
424,12297,3613,1925,2995,2521,6493
425,13299,4057,2104,3306,2761,7127
426,13135,4056,2113,3297,2810,7187
427,11401,3666,1936,2986,2650,6415
428,10871,3474,1826,2843,2376,6171
429,8881,2910,1513,2283,2055,4986
430,7776,2570,1355,1970,1830,4357
431,7026,2338,1219,1765,1644,3918
432,6241,2191,1135,1634,1473,4027
433,5868,2090,1081,1541,1388,3751
434,5693,2047,1046,1501,1358,3659
435,5664,2041,1045,1507,1331,3655
436,5675,2077,1065,1527,1348,3702
437,6145,2245,1156,1663,1472,3984
438,7764,2748,1394,2101,1764,5025
439,10363,3517,1752,2766,2125,6493
440,10865,3609,1842,2874,2213,6740
441,10650,3543,1773,2814,2225,6500
442,10214,3479,1743,2736,2183,6172
443,10429,3536,1779,2741,2199,6238
444,10653,3586,1838,2784,2220,6247
