node_id,type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
56.0,wind_offshore,830.0,0.0,0.0,0.0,0.0,0.0,3.0
57.0,ng,2792.8559999999998,846.19725121,6.69185,4.7649835000000005,0.005658,1337.77,20.0
57.0,other,23.554,0.0,0.0,0.0,0.0,0.0,1.0
57.0,solar,11.589,0.0,0.0,0.0,0.0,0.0,3.0
59.0,coal,400.0,80.52,2.711,8.01688,0.022719,143.33,1.0
59.0,dfo,575.638,171.92269294599998,16.471,8.01688,0.007713066666666667,287.77,15.0
59.0,hydro,37.2,8.579999938,0.0,0.0,0.0,0.0,1.0
59.0,ng,2011.348,567.61034339,5.881444444444444,4.4050344444444445,0.0041184444444444445,905.26,9.0
59.0,other,40.69,0.0,0.0,0.0,0.0,0.0,1.0
60.0,dfo,637.199,233.444425499,16.471,8.01688,0.011937600000000001,318.59000000000003,5.0
60.0,hydro,39.1,12.529999909,0.0,0.0,0.0,0.0,8.0
60.0,ng,1118.5430000000001,338.703509188,5.673222222222222,4.721215555555556,0.0043331111111111105,501.21,9.0
61.0,dfo,41.886,11.115028819,16.471,8.01688,0.008379000000000001,20.94,2.0
61.0,hydro,39.999,16.069999884,0.0,0.0,0.0,0.0,6.0
61.0,ng,40.282,12.239621619000001,5.524666666666666,4.587359999999999,0.002544666666666667,20.13,3.0
61.0,wind,5.0,0.0,0.0,0.0,0.0,0.0,1.0
62.0,hydro,8.0,3.4299999750000003,0.0,0.0,0.0,0.0,2.0
62.0,ng,194.203,63.894597711,5.616499999999999,4.6102300000000005,0.0034275,97.08000000000001,6.0
62.0,other,63.181,0.0,0.0,0.0,0.0,0.0,1.0
63.0,dfo,987.96,255.155717755,16.471,8.01688,0.01244425,493.96000000000004,8.0
63.0,ng,768.999,352.896144,5.9223333333333334,4.88067,0.0067083333333333335,352.02,3.0
64.0,solar,15.12,0.0,0.0,0.0,0.0,0.0,2.0
65.0,dfo,557.508,168.15684049200001,16.471,8.01688,0.007497,278.74,25.0
65.0,ng,27.298000000000002,9.765065299,5.3580000000000005,4.58763,0.002842,13.649999999999999,2.0
65.0,nuclear,1888.898,821.6083885,1.0,8.0,0.0019,0.0,2.0
65.0,other,19.068,0.0,0.0,0.0,0.0,0.0,1.0
65.0,solar,10.08,0.0,0.0,0.0,0.0,0.0,1.0
66.0,ng,932.121,240.48692626000002,5.695,4.94632,0.0071200000000000005,388.68,3.0
66.0,other,43.061,0.0,0.0,0.0,0.0,0.0,1.0
