line_num,from_node,to_node,is_existing,maxFlow,susceptance,length,from_lat,from_lon
158.0,50.0,38.0,0.0,2661.313965517241,244.06048334413785,26.831620377689323,43.926488,-71.842264
159.0,50.0,47.0,0.0,2661.313965517241,244.06048334413785,32.23881540596102,43.926488,-71.842264
160.0,51.0,46.0,0.0,2661.313965517241,244.06048334413785,19.8565910571271,43.299485,-71.68013
161.0,51.0,44.0,0.0,2661.313965517241,244.06048334413785,26.861239199169553,43.299485,-71.68013
162.0,52.0,29.0,0.0,2661.313965517241,244.06048334413785,20.60673626158461,43.293177,-71.035927
163.0,52.0,45.0,0.0,2661.313965517241,244.06048334413785,21.217256863644025,43.293177,-71.035927
164.0,53.0,43.0,0.0,2661.313965517241,244.06048334413785,24.29919331538278,43.361188,-72.222084
165.0,53.0,51.0,0.0,2661.313965517241,244.06048334413785,27.641856361860032,43.361188,-72.222084
166.0,54.0,4.0,0.0,2661.313965517241,244.06048334413785,10.663627546918883,41.705271,-71.285053
167.0,54.0,56.0,0.0,2661.313965517241,244.06048334413785,13.977910901601735,41.705271,-71.285053
168.0,55.0,57.0,0.0,2661.313965517241,244.06048334413785,13.302188794867101,41.67775,-71.576314
169.0,55.0,54.0,0.0,2661.313965517241,244.06048334413785,15.185870986141047,41.67775,-71.576314
170.0,56.0,54.0,0.0,2661.313965517241,244.06048334413785,13.977910901601735,41.502732,-71.284063
171.0,56.0,58.0,0.0,2661.313965517241,244.06048334413785,18.682759187909337,41.502732,-71.284063
172.0,57.0,55.0,0.0,2661.313965517241,244.06048334413785,13.302188794867101,41.870488,-71.578242
173.0,57.0,54.0,0.0,2661.313965517241,244.06048334413785,18.956469540599564,41.870488,-71.578242
174.0,58.0,56.0,0.0,2661.313965517241,244.06048334413785,18.682759187909337,41.401162,-71.617612
175.0,58.0,55.0,0.0,2661.313965517241,244.06048334413785,19.20767585536369,41.401162,-71.617612
176.0,59.0,60.0,0.0,2661.313965517241,244.06048334413785,25.693454395321737,41.228103,-73.366757
177.0,59.0,61.0,0.0,2661.313965517241,244.06048334413785,39.50035459690902,41.228103,-73.366757
178.0,60.0,63.0,0.0,2661.313965517241,244.06048334413785,20.396517495509162,41.349717,-72.900204
179.0,60.0,59.0,0.0,2661.313965517241,244.06048334413785,25.693454395321737,41.349717,-72.900204
180.0,61.0,62.0,0.0,2661.313965517241,244.06048334413785,25.969467702153217,41.791897,-73.235428
181.0,61.0,60.0,0.0,2661.313965517241,244.06048334413785,35.11476165543335,41.791897,-73.235428
182.0,62.0,64.0,0.0,2661.313965517241,244.06048334413785,20.54652242302241,41.806053,-72.732916
183.0,62.0,10.0,0.0,2661.313965517241,244.06048334413785,23.329966495428476,41.806053,-72.732916
184.0,63.0,60.0,0.0,2661.313965517241,244.06048334413785,20.396517495509162,41.434525,-72.524227
185.0,63.0,65.0,0.0,2661.313965517241,244.06048334413785,22.056274824080695,41.434525,-72.524227
186.0,64.0,66.0,0.0,2661.313965517241,244.06048334413785,18.22076139344716,41.858076,-72.340977
187.0,64.0,62.0,0.0,2661.313965517241,244.06048334413785,20.54652242302241,41.858076,-72.340977
188.0,65.0,63.0,0.0,2661.313965517241,244.06048334413785,22.056274824080695,41.47863,-72.103452
189.0,65.0,66.0,0.0,2661.313965517241,244.06048334413785,24.606244897017497,41.47863,-72.103452
190.0,66.0,64.0,0.0,2661.313965517241,244.06048334413785,18.22076139344716,41.824999,-71.990702
191.0,66.0,57.0,0.0,2661.313965517241,244.06048334413785,21.51469595809239,41.824999,-71.990702
