1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.042,0.052,0.122,0.122,0.042,0.042,0.042,0.042,0.042,0.035,0.307,0.307,0.307,0.307,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.207,0.207,0.207,0.207,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.22,0.22,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.069,0.069,0.069,0.069,0.069,0.426,0.426,0.426,0.157,0.086,0.086,0.086,0.086
0.018,0.065,0.055,0.055,0.018,0.018,0.018,0.018,0.018,0.107,0.436,0.436,0.436,0.436,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.383,0.383,0.383,0.383,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.212,0.212,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.067,0.067,0.067,0.067,0.067,0.41,0.41,0.41,0.357,0.008,0.008,0.008,0.008
0.052,0.004,0.088,0.088,0.052,0.052,0.052,0.052,0.052,0.049,0.361,0.361,0.361,0.361,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.315,0.315,0.315,0.315,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.229,0.229,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.054,0.054,0.054,0.054,0.054,0.282,0.282,0.282,0.304,0.107,0.107,0.107,0.107
0.01,0.038,0.227,0.227,0.01,0.01,0.01,0.01,0.01,0.14,0.333,0.333,0.333,0.333,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.218,0.218,0.218,0.218,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.337,0.337,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.152,0.152,0.152,0.152,0.152,0.404,0.404,0.404,0.182,0.189,0.189,0.189,0.189
0.075,0.162,0.387,0.387,0.075,0.075,0.075,0.075,0.075,0.314,0.282,0.282,0.282,0.282,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.251,0.251,0.251,0.251,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.213,0.213,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.27,0.27,0.27,0.27,0.27,0.417,0.417,0.417,0.17,0.164,0.164,0.164,0.164
0.096,0.241,0.414,0.414,0.096,0.096,0.096,0.096,0.096,0.459,0.339,0.339,0.339,0.339,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.362,0.362,0.362,0.362,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.23,0.23,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.243,0.345,0.345,0.345,0.345,0.345,0.619,0.619,0.619,0.205,0.333,0.333,0.333,0.333
0.098,0.324,0.294,0.294,0.098,0.098,0.098,0.098,0.098,0.492,0.326,0.326,0.326,0.326,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.341,0.524,0.524,0.524,0.524,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.288,0.288,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.339,0.339,0.339,0.339,0.339,0.597,0.597,0.597,0.303,0.29,0.29,0.29,0.29
0.136,0.236,0.258,0.258,0.136,0.136,0.136,0.136,0.136,0.458,0.249,0.249,0.249,0.249,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.656,0.656,0.656,0.656,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.332,0.332,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.386,0.273,0.273,0.273,0.273,0.273,0.432,0.432,0.432,0.223,0.167,0.167,0.167,0.167
0.194,0.178,0.19,0.19,0.194,0.194,0.194,0.194,0.194,0.384,0.246,0.246,0.246,0.246,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.566,0.566,0.566,0.566,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.437,0.437,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.221,0.221,0.221,0.221,0.221,0.497,0.497,0.497,0.176,0.165,0.165,0.165,0.165
0.346,0.175,0.385,0.385,0.346,0.346,0.346,0.346,0.346,0.489,0.311,0.311,0.311,0.311,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.438,0.438,0.438,0.438,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.411,0.411,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.288,0.288,0.288,0.288,0.288,0.524,0.524,0.524,0.159,0.205,0.205,0.205,0.205
0.386,0.275,0.512,0.512,0.386,0.386,0.386,0.386,0.386,0.449,0.285,0.285,0.285,0.285,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.621,0.621,0.621,0.621,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.374,0.374,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.343,0.343,0.343,0.343,0.343,0.495,0.495,0.495,0.188,0.236,0.236,0.236,0.236
0.411,0.342,0.485,0.485,0.411,0.411,0.411,0.411,0.411,0.428,0.193,0.193,0.193,0.193,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.714,0.714,0.714,0.714,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.251,0.251,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.365,0.365,0.365,0.365,0.365,0.313,0.313,0.313,0.12,0.218,0.218,0.218,0.218
0.38,0.46,0.457,0.457,0.38,0.38,0.38,0.38,0.38,0.488,0.127,0.127,0.127,0.127,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.638,0.638,0.638,0.638,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.246,0.246,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.404,0.404,0.404,0.404,0.404,0.274,0.274,0.274,0.045,0.234,0.234,0.234,0.234
0.142,0.186,0.206,0.206,0.142,0.142,0.142,0.142,0.142,0.288,0.139,0.139,0.139,0.139,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.382,0.654,0.654,0.654,0.654,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.272,0.272,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.161,0.189,0.189,0.189,0.189,0.189,0.306,0.306,0.306,0.08,0.097,0.097,0.097,0.097
0.184,0.047,0.21,0.21,0.184,0.184,0.184,0.184,0.184,0.179,0.18,0.18,0.18,0.18,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.751,0.751,0.751,0.751,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.234,0.234,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.099,0.099,0.099,0.099,0.099,0.198,0.198,0.198,0.114,0.022,0.022,0.022,0.022
0.158,0.0,0.103,0.103,0.158,0.158,0.158,0.158,0.158,0.111,0.133,0.133,0.133,0.133,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.758,0.758,0.758,0.758,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.215,0.215,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.046,0.046,0.046,0.046,0.046,0.099,0.099,0.099,0.141,0.011,0.011,0.011,0.011
0.113,0.006,0.058,0.058,0.113,0.113,0.113,0.113,0.113,0.063,0.135,0.135,0.135,0.135,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.681,0.681,0.681,0.681,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.206,0.206,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.032,0.032,0.032,0.032,0.032,0.134,0.134,0.134,0.135,0.036,0.036,0.036,0.036
0.169,0.018,0.074,0.074,0.169,0.169,0.169,0.169,0.169,0.064,0.173,0.173,0.173,0.173,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.475,0.475,0.475,0.475,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.189,0.189,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.046,0.046,0.046,0.046,0.046,0.263,0.263,0.263,0.095,0.072,0.072,0.072,0.072
0.153,0.026,0.052,0.052,0.153,0.153,0.153,0.153,0.153,0.033,0.183,0.183,0.183,0.183,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.329,0.256,0.256,0.256,0.256,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.141,0.141,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.034,0.034,0.034,0.034,0.034,0.245,0.245,0.245,0.026,0.068,0.068,0.068,0.068
